strata,psuid,subid,weight,weight_norm,x_inv,x_cont_2,x_bin,x_cat,x_f1,x_f2,x_f3,x_f4,x_f5,y,y_f
1,10,13,10,0.875359348093937,18.6146174743772,1.25783082563964,1,3,0.932948878034949,0.87018968956545,0.639712958363816,0.484301036689431,0.222165368730202,27.0499760589899,12.5536586169541
1,10,12,10,0.875359348093937,7.80615733005106,-1.48447309424704,1,4,0.711886432021856,0.667383359512314,0.199026394635439,0.493088566698134,0.945062081795186,27.3520907628592,23.9572099994776
1,10,18,10,0.875359348093937,14.4230451714247,-0.397669241595696,0,4,0.513948065461591,0.588232157519087,0.655725274933502,0.0849410500377417,0.63193320366554,27.5902714335252,13.4292991137616
1,10,17,10,0.875359348093937,10.1481981528923,-0.0176227791583287,0,3,0.765859526582062,0.794721360551193,0.91133532486856,0.160022427793592,0.0355294076725841,15.0657375481239,16.2340763207508
1,10,8,10,0.875359348093937,16.6941155353561,1.16969160377185,1,3,0.371161159593612,0.316531255375594,0.791334743844345,0.363250788999721,0.44126709504053,18.0069782295356,13.5815642730252
1,10,9,10,0.875359348093937,15.506306248717,0.524493416197211,0,3,0.249001640127972,0.000431009102612734,0.261049126274884,0.642382138874382,0.981315790209919,20.3605572824195,13.1737067648657
1,10,20,10,0.875359348093937,4.57437330856919,-0.58151265038209,0,4,0.0529763849917799,0.602140402188525,0.500085886567831,0.520842164987698,0.216776401503012,22.0142557993991,9.56581018949259
1,10,7,10,0.875359348093937,12.9263523267582,-0.838651917373321,0,4,0.0501932078041136,0.659987659659237,0.602283635176718,0.0476361555047333,0.66807751567103,16.5202164567188,6.31859242406541
1,10,5,10,0.875359348093937,5.07623292505741,-0.874393125568205,0,1,0.270132743287832,0.261463922448456,0.188501553144306,0.277106004301459,0.922763420268893,9.30684020758845,13.7842971890849
1,10,16,10,0.875359348093937,19.6940890140831,0.976921498208583,1,3,0.838094647740945,0.205858820816502,0.751633150968701,0.789985693059862,0.103239640826359,29.6973415647365,16.1887312671271
1,10,6,10,0.875359348093937,2.13516206480563,-0.738649181371562,1,3,0.592762768268585,0.473844979191199,0.59269914124161,0.721693783067167,0.563989489804953,7.98958381079676,19.9995508995483
1,10,2,10,0.875359348093937,17.9675657209009,0.87641273287534,1,2,0.753819448174909,0.779138264944777,0.0176986029837281,0.550093578640372,0.532986248843372,19.3839066387945,22.7153292957234
